Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Carolyn Simmons,Kora Organics,Kora Organics - August 2019,Closed Lost,Q3-2019,,1/0/00,3,43700,43697,,Other Referral,,koraorganics.com
Equity Fund,Carolyn Simmons,Kitchen Crafted,Kitchen Crafted - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43720,43721,,Helio,,kitchencrafted.com
Equity Fund,Carolyn Simmons,bioBELLE,bioBELLE - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43721,43721,,Helio,,biobellecosmetics.com
Equity Fund,Carolyn Simmons,SoapSox,SoapSox - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43721,43721,,Helio,,soapsoxkids.com
Equity Fund,Carolyn Simmons,Karuna,Karuna - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43721,43721,,Helio,,karunaskin.com
Equity Fund,Carolyn Simmons,Fit Joy Nutrition,Fit Joy Nutrition - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43724,43724,,Helio,,fitjoyfoods.com
Equity Fund,Carolyn Simmons,Velour Lashes,Velour Lashes - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43725,43725,,Helio,,velourbeauty.com
Equity Fund,Carolyn Simmons,Stream2Sea,Stream2Sea - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43727,43727,,Helio,,stream2sea.com
Equity Fund,Carolyn Simmons,Vegamour,Vegamour - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43728,43728,,Investor Referral,,vegamour.com
Equity Fund,Carolyn Simmons,reina-rebelde,reina-rebelde - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43731,43731,,Helio,,reinarebelde.com
Equity Fund,Carolyn Simmons,RIND Snacks,RIND Snacks - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43732,43732,,,,rindsnacks.com
Equity Fund,Carolyn Simmons,Bohana,Bohana - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43732,43732,,,,bohanalife.com
Equity Fund,Carolyn Simmons,Oui Shave,Oui Shave - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,Helio,,ouishave.com
Equity Fund,Carolyn Simmons,Patchology,Patchology - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,,,patchology.com
Equity Fund,Carolyn Simmons,Omax,Omax - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,,,omaxhealth.com
Equity Fund,Carolyn Simmons,Brooklyn Botany,Brooklyn Botany - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43735,43735,,,,brooklynbotany.com
Equity Fund,Carolyn Simmons,Everyday,Everyday - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43735,43735,,Helio,,everyday-humans.com
