,normalized_url,brand_name,product,created_at,rev_content,review_rating
0,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/26/2022,I bring these pods to work frozen and they are thawed just in time for my morning break. Superior to local choices.,5
1,cometeer.com,Jot,Pilot Program - Mixed Box,01/23/2022,My aunt and uncle drank all my cometeer,5
2,cometeer.com,Jot,Pilot Program - Mixed Box,01/22/2022,"Wonderful, joyful, spectacular way to start the day.",5
3,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/21/2022,Good experience takes 2 units to get consistency but overall satisfied,5
4,cometeer.com,Jot,Pilot Program - Light Box,01/20/2022,I loved it enough that I'm strongly considering downsizing my niche/rocket espresso setup and just driving Cometeer.,5
5,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/20/2022,"I really am enjoying my coffee. The taste is very fresh, smooth and delicious!  I love the variety as well and delivery is so convenient!  I will definitely being ordering again and gifting this coffee to friends.",5
6,cometeer.com,Jot,Pilot Program - Dark Box,01/18/2022,"Though my home office (literally a garage) is a bland, unassuming space, when I have a cup of Cometeer's exquisite coffee it seems like a barista-crafted palace. There's nothing I cannot achieve when Cometeer-delivered caffeine courses through my otherwise-weary veins.* The convenience, the flavor, the style! A miracle of science. 

*Please do not consume Cometeer intravenously. To do anything but drink it would be blasphemy.",5
7,cometeer.com,Jot,Pilot Program - Mixed Box,01/18/2022,"It is like the omakase of coffee, every choice is pure perfection in a cup!",5
8,cometeer.com,Jot,Pilot Program - Decaf Box,01/18/2022,"I don't get to drink a lot of coffee, because I only drink decaf and my husband makes a pot of regular every day.  I hated the thought of keurig, with all the little plastic pods, and Cometeer has solved all of this for me.  Now when I want coffee I can just pull a pod out of the freezer and then recycle the pod.  The taste of the coffee was fantastic, and didn't even need sugar. That's the sign of a good cup of coffee for me!",5
9,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/18/2022,Taste is exceptional but the cost is prohibitive.,5
10,cometeer.com,Jot,Pilot Program - Light Box,01/18/2022,Really easy to make and tastes great!,5
11,cometeer.com,Jot,Pilot Program - Medium Box,01/17/2022,"This is utterly different. A number of years ago I started studying coffee; going to tastings, going to cuppings, and learning to actually experience the tasting notes, etc. The downside of this is that I find a good 90% of all coffee - specifically talking about coffee made in Third Wave shops - undrinkable. And whole beans are only drinkable for two weeks after which I can immediately tell the volatiles are gone and it's stale. And since there isn't a good roaster near me it's just too costly to get a bag shipped one at a time and two bags will stale before using.

But so far, these pods - all the Medium Roast - have been ... WOW! All four are absolutely DELICIOUS. Mouth-licking delicious. There is a particular ... note .. a taste maybe a sort of chocolate or leather that they ALL have. I, personally, associate this iwth George Howell's Roasting style. I have had his roasts at his roaster and even the pucks made by Klatch and Joe for example have that particular depth to them. 

I am REALLY excited about this. If you too find that a drinkable cup seems out of your grasp at home - and frankly even in shops - give these a try and see what you think.",5
12,cometeer.com,Jot,Pilot Program - Light/Medium Box,01/17/2022,"I’ve always preferred dark roasts because I love the flavor punch and find it hard to take weak-tasting coffee.  But Cometeer coffees are so well prepared that I can taste the delicate complexity in the light and medium roasts and still enjoy a well-rounded, complete flavor. No need for cream in my coffee now.",5
13,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/17/2022,"I followed instructions, but it just doesn’t seem like my coffee stays hot for long enough to enjoy the full flavor.
I am sharing some with my grandson, we’ll see if he has better luck!",5
14,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,"It was fun, quick, easy, and tasted fresh brewed.  From the moment I peeled the seal off the top, I instantly smelled the coffee. Haven’t tried a flavor I don’t like..  arrived frozen with lots of dry ice remaining in insulated box.",5
15,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/17/2022,"I absolutely loved the flavor of this rich, delicious, fresh coffee. As a former barista, I am a coffee snob. Cometeer is the real deal!",5
16,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/17/2022,Best coffee ever!!,5
17,cometeer.com,Jot,Pilot Program - Light/Medium Box,01/17/2022,"Consistent quality. I can brew great coffee in my own, but it won't always be better than a cup of cometeer. The consistency and quality makes it worth it",5
18,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,"I saw Cometeer advertised on a coffee YouTube channel, James Hoffmann, and decided to try it. Probably the best coffee I have ever had in my life. The process is simple, the coffee is fair priced, and the overall experience was great. Greatly anticipating my next shipment!",5
19,cometeer.com,Jot,Pilot Program - Light Box,01/17/2022,"I am admittedly a “coffee snob”. I bring my aeropress with me on business trips and go to the ends of the earth to find the freshest beans. I received my first box of Cometeer from a very thoughtful friend who knows I have a newborn and do not have the time to go out searching for beans. I thought I’d use Cometeer as a supplement for when I’m unable to find good coffee. Instead, I’m finding myself preferring Cometeer over my pour over! To say I’m in love is an understatement.",5
20,cometeer.com,Jot,Pilot Program - Light Box,01/17/2022,The Best Brew!!  Great program for delivering the best coffee with incredible flavor while making sustainabiity a priority !,5
21,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/17/2022,The coffee is very good. Easy to make a one off cup!!,5
22,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,28 years old. This is the best coffee I have ever had. Self proclaimed coffee snob and I am dancing through the kitchen with each sip.,5
23,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,It’s awesome so far,5
24,cometeer.com,Jot,Pilot Program - Decaf Box,01/17/2022,It's my new favorite way to drink coffee.  The flavors were delicious and seemed like a great brewed cup.  Consider me a repeat customer!,5
25,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,Absolutely amazing.  The best coffee I’ve had in a very long time!,5
26,cometeer.com,Jot,Pilot Program - Mixed Box,01/17/2022,The espresso is so tasty and fun to have handy. Even frozen is just minutes away from a hot cup. We will be taking a few of these on our camping trips!,5
27,cometeer.com,Jot,Pilot Program - Decaf Box,01/16/2022,Really enjoyed sampling each of the decaf blends. One was more tasty than the next!  Will reorder more soon.,5
28,cometeer.com,Jot,Pilot Program - Medium/Dark Box,01/16/2022,"The coffee is amazing, As I expected, I prefer the dark over the medium, but had to give them both a shot.
Making the coffee is so simple, it is hard to believe that such good coffee comes from just adding water",5
29,cometeer.com,Jot,Pilot Program - Mixed Box,01/16/2022,I'm really glad I tried Cometeer. The coffee arrived quickly and I've had an opportunity to give each a good test. The light roasts are rich and flavorful and the medium and dark are bold but not burnt. I'm very pleased with the overall quality and the ease of preparation.,5
30,cometeer.com,Jot,Pilot Program - Mixed Box,01/16/2022,"Excellent coffee, service and delivery",5
31,cometeer.com,Jot,Pilot Program - Mixed Box,01/16/2022,Coffee is really delicious and convenient to make,5
32,cometeer.com,Jot,Pilot Program - Mixed Box,01/15/2022,This is simply great coffee and I’ll keep buying it !,5
33,cometeer.com,Jot,Pilot Program - Decaf Box,01/15/2022,"So amazing! Easy, fast and tasty:)",5
34,cometeer.com,Jot,Pilot Program - Dark Box,01/15/2022,Premium coffee! Better then k-cups or instant coffee of any brand I've tried.,5
