,normalized_url,brand_name,product,created_at,rev_content,review_rating
0,javycoffee.com,Javy,Javy Coffee,2022-01-31T17:14:09.427Z,"They had a great sale and I’ve always wanted to try it because of the happy customer video testimonials, and I finally took advantage of the Black Friday sale! I got the caramel. I was hoping it would be good for the price,  but kind of hoping it wasn’t super good at the same time so I wouldn’t be disappointed when I couldn’t afford to buy more bottles.  It’s so freaking good! Not bitter at all, which is why I like it so much! I’ve tried it iced a few times with frothed half and half and made fancy drinks with it, and then I tried it hot. Iced is way better in my opinion! ",4
1,javycoffee.com,Javy,Javy Coffee,2022-01-31T17:07:20.757Z,I am so excited I purchased this delicious product! I will share it with all my coffee loving family and friends!,5
2,javycoffee.com,Javy,Microdose - Mocha Coffee Concentrate,2022-01-31T16:48:45.457Z,"Love how simple and easy this is to use, no mess of making coffee or wasting coffee after making too much. 
All the videos I saw people were making iced coffee, I don’t like iced coffee but Javy was still perfect for my hot drinks. ",5
3,javycoffee.com,Javy,Javy Club - Subscribe & Save,2022-01-31T13:51:04.267Z,Makes my morning so much quicker and easier. And the taste and aroma and amazing! ,5
4,javycoffee.com,Javy,Javy Coffee,2022-01-28T20:05:35.664Z,"It’s easy, convenient, cheaper but yummier!!! ",5
5,javycoffee.com,Javy,Javy Coffee,2022-01-27T12:49:39.331Z,I work overnights and I'm not always awake enough before shift to want to wait on a cup of coffee to brew. JAVY works the best for me because I can just throw it in my shaker bottle and go!!!,5
6,javycoffee.com,Javy,Microdose - Liquid Coffee Concentrate,2022-01-27T02:14:42.217Z,"It is easy to prepare, taste so good especially when I make  ice coffee and I drink this  4 times a day.",5
7,javycoffee.com,Javy,Javy Coffee,2022-01-27T00:56:16.559Z,"I’m really pleased with the caramel flavored Javy coffee!! The caramel flavor is just right, not overpowering, and it doesn’t disappear on the palette either. ",5
8,javycoffee.com,Javy,Coffee Concentrate - French Vanilla,2022-01-26T23:41:58.115Z,"The French Vanilla is my favorite.  Mixed with ice,  M&M's creamer and 2% milk.   I usually run out between shipments.  😆 ",5
9,javycoffee.com,Javy,Javy Coffee,2022-01-26T23:22:00.161Z,Five stars all around except that the lid seems to tighten in the fridge to where I sometimes can't open it. Perhaps this is specific to me because I have nerve pain but I have more trouble reopening this lid than with any other product.,5
10,javycoffee.com,Javy,Javy Coffee,2022-01-26T20:53:48.951Z,Love the flavor❤️,5
11,javycoffee.com,Javy,Microdose - Caramel Coffee Concentrate,2022-01-26T18:41:20.484Z,I love Javy coffee. It’s the best I’ve had and I’ve had plenty. Smooth and flavorful. ,5
12,javycoffee.com,Javy,Javy Coffee,2022-01-25T15:00:24.681Z,"I absolutely love the Javy caramel flavor! I mix it with either milk or my morning protein shake and head out the door. It has made my morning so much easier, no more needing to stop at the coffee shops on my way to work. ",5
13,javycoffee.com,Javy,Microdose - Liquid Coffee Concentrate,2022-01-25T12:00:51.023Z,So glad I discovered this product. I’ve been enjoying iced coffee every morning since. I only wish though when I made my purchase and took advantage of a deal I had the option to pick different flavors. ,5
14,javycoffee.com,Javy,Javy Coffee,2022-01-24T18:03:08.555Z,I am very impressed with the freshness and taste of Javy!!,5
15,javycoffee.com,Javy,Javy Coffee,2022-01-24T17:30:30.060Z,I’m really enjoying the quick coffee on the go ,5
16,javycoffee.com,Javy,Javy Coffee,2022-01-24T04:02:20.380Z,I was skeptical at first but after playing around and adjusting some recipes I absolutely love this product and will continue to buy all the flavors!!! ,5
17,javycoffee.com,Javy,First Time Customer Deal - Flavor BOGO,2022-01-22T16:25:26.704Z,Javys BOGO deal is great.  You can get 2 flavors to fall in love with.   Double check your check out to make sure your order is correct.  I had deleted the auto renewal package but it still reappeared in my cart to which I only noticed after I paid.   I'll keep using Javy!!!! ,5
18,javycoffee.com,Javy,Javy Coffee,2022-01-22T12:31:43.201Z,Really easy and fast in the morning if ur in a pinch and taste great ,5
19,javycoffee.com,Javy,Javy Coffee,2022-01-22T00:37:07.984Z,"Ok so he's not really hopped up on caffeine, but sometimes I wonder...  So while my kitten (Mercury) might not actually love Javy, but I sure do. ",5
20,javycoffee.com,Javy,First Time Customer Deal,2022-01-22T00:26:56.417Z,"Shipping delays amidst a pandemic and over the holidays combined with a couple missing bottles from my order would USUALLY result in a scathing review warning people. 

Javy's customer support has been nothing short of AMAZING. From sorting out shipping delays to immediately righting a wrong and sending out the missing bottles within a few hours of being notified, I cannot stress enough how much I appreciate this company.

The coffee is great and very convenient. I'm still trying to find the sweet spot for my personal taste, but it's a flavorful cup of coffee that lends itself well to both hot and cold beverages. I have 10 bottles (8 with 2 on the way) but I'll be ordering more when they run out!",5
21,javycoffee.com,Javy,Microdose - Liquid Coffee Concentrate,2022-01-21T16:54:54.377Z,"I absolutely love my Javy! I got 2 bottles this time, instead of 1! ",5
22,javycoffee.com,Javy,Javy Coffee,2022-01-19T22:41:46.882Z,OMG! I ABSOLUTELY ❤❤❤❤ THIS STUFF! WOULD HIGHLY RECOMMEND!!,5
23,javycoffee.com,Javy,Javy Coffee,2022-01-19T19:56:01.793Z,Absolutely love it!!! Caramel was first one have tried and it is just amazing!,5
24,javycoffee.com,Javy,Javy Coffee,2022-01-19T19:52:44.785Z,I no longer need to waste time and money as I rush to work everyday because now I can make a simple and delicious cup of iced Javy coffee! ,5
25,javycoffee.com,Javy,Javy Coffee,2022-01-18T19:36:07.059Z,"I love the coffee itself without bitterness even though I’ve been used to the bitterness, I also enjoy not making a pot of coffee and just going into my fridge and having a tablespoon of my coffee. I really like the other flavors but my favorite is the plain one.",5
26,javycoffee.com,Javy,Javy Coffee,2022-01-18T00:25:06.516Z,"This Carmel Javy is WOW!!! I use dairy free almond creamer and it tastes so creamy and chocolately!!!
My favorite!!!",5
27,javycoffee.com,Javy,Microdose - Caramel Coffee Concentrate,2022-01-17T14:51:47.189Z,"Delicious, easy, and budget friendly!",5
28,javycoffee.com,Javy,Javy Coffee,2022-01-14T02:29:10.184Z,I was skeptical about trying this but glad I did! I have turned on my friends to this and we love it! ,5
29,javycoffee.com,Javy,Javy Coffee,2022-01-12T14:47:29.890Z,"I've been drinking this coffee now for a few months and I have to say that I am very impressed. I used to get terrible heartburn when I drank regularly brewed coffee and it made me not want to drink it. I tried several different types of coffee, concentrates and even mushroom mixes but Javy has won my affections over all!! ",5
30,javycoffee.com,Javy,Limited Offer L.P,2022-01-10T21:36:24.583Z,I absolutely love my Javy! It’s never bitter and it’s so easy. Hot or cold it always hits the spot!,5
31,javycoffee.com,Javy,Javy Coffee,2022-01-06T19:48:36.591Z,I love the flexibility with Javy. I can create so many different variations. My recent fave is a white chocolate mocha with a sweet cream whip!! ,5
32,javycoffee.com,Javy,Microdose - Caramel Coffee Concentrate,2022-01-06T18:06:58.712Z,OMG THIS IS  GREAT 🔥🔥,5
33,javycoffee.com,Javy,Autumn Vibes Limited Edition Cup,2022-01-06T18:01:21.896Z,"I absolutely love this cup. Keep it in the freezer, ready for my next iced coffee.  My friends ask where I got it! ",5
34,javycoffee.com,Javy,Javy Coffee,2022-01-06T11:24:44.369Z,I work 60+ hours a week and I found myself running out of time to make coffee in the morning. Saw Javy and figured I’d try it out. Best thing ever. It’s quick and easy and tastes amazing. ,5
35,javycoffee.com,Javy,Microdose - Peppermint Mocha Liquid Coffee Concentrate,2022-01-06T02:37:39.346Z,This flavor is delicious ,5
36,javycoffee.com,Javy,Microdose - Liquid Coffee Concentrate,2022-01-05T23:32:28.001Z,"I love how easy it is to make a cup of coffee. I do think that there needs to be a dropper in there or something instead, because coffee gets everywhere on the bottle and on the counter.",5
