,unibi_word
flex,1772
hello,1123
flexfits.com,1122
sent,1098
please,977
email,954
company,945
wrote,933
flexfits.com_wrote,884
hi,881
cancel,875
flex_company,855
hello_flexfits.com,842
thank,816
iphone,692
period,691
time,684
want,655
shipping,628
sent_iphone,613
receive,613
would,607
disc,604
know,595
subscription,595
information,573
way,572
pm,564
wrote_hi,553
u,540
first,526
use,523
address,507
thanks,490
number,472
one,456
need,456
question,442
unsubscribe,440
day,432
cup,430
company_hello,429
view,412
longer,405
confirmation,397
ca,391
hour,390
still,381
getting,380
feel,373
account,372
try,365
let,363
shipping_confirmation,357
keep,355
website,355
help,347
month,344
http,328
change,328
tried,325
going,317
right,316
may,308
first_time,305
used,302
go,301
visit,299
submitted,297
venice,295
billing,294
trying,293
life,292
shipping_address,291
flexpert,289
think,284
want_receive,284
receive_email,282
state,281
method,280
longer_want,280
suite,279
say,279
tampon,276
next,275
really,275
actually,274
email_unsubscribe,274
flex_disc,274
back,273
lincoln,270
new,270
total,269
united,268
safe,265
billing_address,263
shipment,263
usd,261
ready,261
subtotal,259
united_state,259
heavy,257
away,256
total_usd,256
thought,255
visit_website,254
suite_venice,254
information_shipping,254
subtotal_shipping,253
summary,253
shipping_method,253
flow,252
usd_information,250
venice_ca,246
thing,246
work,244
shipped,243
let_know,236
take,234
last,233
business,232
ž,230
erika,228
send,227
purchase,223
pm_flex,223
tucked,220
email_confirmation,219
make,219
cancel_subscription,217
receive_shipping,216
tell,216
mail,215
name,215
getting_ready,215
ship,214
box,214
ready_receive,214
confirmation_way,214
product,212
state_shipping,210
keep_number,210
confirmation_keep,210
designated,209
flex_cup,208
number_tucked,208
tucked_away,208
away_safe,208
medium,207
follow,207
coming,207
state_billing,206
boulevard,206
safe_view,205
subject,205
stop,203
lincoln_boulevard,203
designated_flexpert,202
pack,201
every,199
ever,199
pretty,196
message,196
click,195
erika_hello,195
gmail.com,193
sure,192
wanted,192
boulevard_suite,191
could,190
team,189
nothing,188
guy,188
start,188
cramp,187
please_cancel,187
idea,186
issue,186
follow_u,185
blood,183
contact,182
rest,182
comfortable,182
tracking,179
th,179
kid,178
trying_flex,177
deal,176
another,175
yahoo,172
order,171
show,170
use_flex,170
customer,170
tmi,169
yahoo_mail,169
anything,169
shipping_total,168
date,168
menstrual,168
changed,167
time_trying,166
full,166
refund,166
able,165
sent_yahoo,165
removal,164
year,160
whole,160
week,158
stay,158
website_flexfits.com,158
flexfits.com_summary,157
much,156
happened,155
sign,155
yet,154
area,154
tracking_number,153
mean,153
company_lincoln,153
bill,152
heard,152
always,152
excited,152
basically,151
thing_know,151
extremely,151
easy,151
sex,150
standard,149
know_question,149
people,149
check,148
share,148
weird,148
business_day,148
