,index,counts
10,cancel,875
15,period,691
16,time,684
17,want,655
20,receive,613
21,would,607
22,disc,604
23,subscription,595
24,know,595
25,information,573
26,way,572
27,pm,564
29,u,540
30,first,526
31,use,523
32,address,507
34,number,472
35,one,456
36,need,456
37,question,442
38,unsubscribe,440
39,day,432
40,cup,430
42,view,412
43,longer,405
44,confirmation,397
45,ca,391
46,hour,390
47,still,381
48,getting,380
49,feel,373
50,account,372
51,try,365
52,let,363
54,keep,355
55,website,355
56,help,347
57,month,344
58,change,328
59,http,328
60,tried,325
61,going,317
62,right,316
63,may,308
64,first_time,305
65,used,302
66,go,301
67,visit,299
68,submitted,297
69,venice,295
70,billing,294
71,trying,293
72,life,292
75,want_receive,284
78,state,281
79,longer_want,280
80,method,280
81,say,279
82,suite,279
83,tampon,276
84,really,275
85,next,275
87,actually,274
89,back,273
90,new,270
91,lincoln,270
92,total,269
93,united,268
94,safe,265
95,billing_address,263
97,ready,261
98,usd,261
99,united_state,259
100,subtotal,259
101,heavy,257
102,away,256
103,total_usd,256
104,thought,255
105,visit_website,254
107,suite_venice,254
109,summary,253
111,flow,252
112,usd_information,250
114,venice_ca,246
115,work,244
117,let_know,236
118,take,234
119,last,233
120,business,232
121,ž,230
122,erika,228
123,send,227
124,purchase,223
126,tucked,220
127,make,219
129,cancel_subscription,217
131,tell,216
132,getting_ready,215
133,mail,215
135,ready_receive,214
136,box,214
137,confirmation_way,214
138,product,212
140,confirmation_keep,210
141,keep_number,210
142,designated,209
143,tucked_away,208
144,away_safe,208
145,number_tucked,208
147,follow,207
148,medium,207
149,coming,207
150,boulevard,206
151,state_billing,206
152,subject,205
153,safe_view,205
154,stop,203
155,lincoln_boulevard,203
157,pack,201
158,ever,199
159,every,199
160,message,196
161,pretty,196
163,click,195
165,sure,192
166,wanted,192
167,boulevard_suite,191
168,could,190
169,name,189
170,team,189
172,guy,188
173,start,188
174,cramp,187
176,idea,186
177,issue,186
178,follow_u,185
179,blood,183
180,contact,182
181,comfortable,182
182,rest,182
183,th,179
184,tracking,179
185,kid,178
187,deal,176
188,another,175
189,yahoo,172
190,order,171
191,show,170
192,customer,170
194,yahoo_mail,169
196,tmi,169
198,menstrual,168
199,date,168
200,changed,167
201,time_trying,166
202,full,166
203,refund,166
204,able,165
206,removal,164
207,whole,160
208,year,160
209,stay,158
210,week,158
213,much,156
214,happened,155
215,sign,155
216,yet,154
217,area,154
219,tracking_number,153
220,mean,153
221,excited,152
222,heard,152
223,always,152
224,bill,152
225,basically,151
226,extremely,151
227,easy,151
229,sex,150
230,standard,149
231,know_question,149
232,people,149
233,business_day,148
234,check,148
235,share,148
236,weird,148
237,heavy_flow,147
238,couple,147
239,single,145
240,ÿ,145
241,still_going,144
242,science,144
243,vagina,144
244,method_standard,143
245,zori,143
246,prepared,142
247,strong,142
248,nye,141
250,bill_nye,141
251,btw,141
253,combined,140
255,reach,139
256,zori_designated,139
257,power,139
258,going_strong,139
259,hormone,139
260,confusing,138
261,guy_still,138
262,cheese,138
263,cried,138
264,area_extremely,137
265,hour_hormone,137
266,combined_idea,137
267,gnarly_cramp,137
268,cried_whole,137
269,idea_deal,137
270,freaked,137
271,month_feel,137
272,life_freaked,137
273,dramatic,137
275,prepared_actually,137
276,extremely_confusing,137
277,betrayed,137
278,power_badass,137
279,dramatic_kid,137
280,basically_rest,137
281,feel_vagina/uterus,137
282,science_guy,137
283,tell_dramatic,137
284,nye_science,137
285,judging,137
286,know_stop,137
287,parmesan,137
288,weird_know,137
289,freaked_tell,137
290,betrayed_power,137
291,confusing_time,137
292,vagina/uterus_betrayed,137
293,whole_hour,137
294,btw_weird,137
295,strong_btw,137
297,parmesan_cheese,137
298,stop_judging,137
299,thought_prepared,137
300,time_basically,137
301,pretty_gnarly,137
302,gnarly,137
303,rest_life,137
304,cramp_month,137
305,vagina/uterus,137
306,badass,137
307,actually_happened,136
308,felt,136
309,happy,136
312,zori.b,135
313,completely,135
315,quickly,134
316,ž_subtotal,134
317,zori_zori.b,134
318,reply,132
320,coming_area,131
321,deal_blood,131
323,update,130
325,cycle,130
328,trial,129
329,fit,129
330,different,129
331,talk,129
332,end,127
333,charged,126
334,st,125
335,chat,125
336,future,125
337,started,125
338,without,123
339,looking,122
340,billed,122
341,available,122
342,link,121
343,heavier,121
344,many,121
345,realized,121
346,hey,119
347,view_tracking,119
348,really_heavy,119
349,leak,118
350,live,117
351,literally,117
352,insertion,117
353,tv,117
354,spot,117
355,service,117
356,whether,116
357,okay,116
358,hope,116
360,e-mail,115
361,conversation,115
362,scared,114
364,tv_show,113
365,money,113
366,pad,112
367,look,112
368,body,112
369,made,112
370,question_disc,111
371,amazon,111
372,foot,111
373,offer,111
375,first_period,111
377,disc_cup,110
378,podcast,110
379,nye_single,110
380,ave,109
381,lighter,109
382,find,109
383,payment,109
384,biggest,108
385,amazing,108
386,go-to,108
387,know_whether,108
388,crush,108
389,tip,107
390,meantime,107
391,entry=gmail_source=g,106
392,right_spot,106
