,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,comments,likes,likes_per_post_pax,comments_per_post_pax,comments_per_post,likes_per_post,name
0,madremezcal.com,2263717464,2018-10-01,,,,,,,,,,,,,Madre Mezcal
1,properwhiskey.com,7740896584,2018-10-01,,,,,,,,,,,,,Proper 12
2,mezcalrosaluna.com,7617656729,2018-10-01,,,,,,,,,,,,,Rosaluna Mezcal
3,thelongdrink.com,7521961287,2018-10-01,,,,,,,,,,,,,The Long Drink
4,lossundays.com,2179286233,2018-10-01,,,,,,,,,,,,,Los Sundays
5,drinkonda.com,19344966306,2018-10-01,,,,,,,,,,,,,Onda
6,teremana.com,16168990751,2018-10-01,,,,,,,,,,,,,Teremana
7,ghosttequila.com,2694491630,2018-10-01,,,,,,,,,,,,,Ghost Tequila
8,ghosttequila.com,2694491630,2018-11-01,,,,,,,,,,,,,Ghost Tequila
9,properwhiskey.com,7740896584,2018-11-01,,,,,,,,,,,,,Proper 12
10,lossundays.com,2179286233,2018-11-01,7457.0,2546.0,2546.0,194.0,7457.0,194.0,188.0,6016.0,0.004158550258596019,0.0001299546955811256,0.9690721649484536,0.9690721649484536,Los Sundays
11,thelongdrink.com,7521961287,2018-11-01,,,,,,,,,,,,,The Long Drink
12,mezcalrosaluna.com,7617656729,2018-11-01,,,,,,,,,,,,,Rosaluna Mezcal
13,teremana.com,16168990751,2018-11-01,,,,,,,,,,,,,Teremana
14,madremezcal.com,2263717464,2018-11-01,,,,,,,,,,,,,Madre Mezcal
15,drinkonda.com,19344966306,2018-11-01,,,,,,,,,,,,,Onda
16,ghosttequila.com,2694491630,2018-12-01,,,,,,,,,,,,,Ghost Tequila
17,lossundays.com,2179286233,2018-12-01,7813.0,2608.0,2587.3333,203.33333,7694.3335,208.0,195.0,6144.0,0.003927097027157505,0.00012463930994396376,0.9590164174318512,0.9590164174318512,Los Sundays
18,drinkonda.com,19344966306,2018-12-01,,,,,,,,,,,,,Onda
19,thelongdrink.com,7521961287,2018-12-01,,,,,,,,,,,,,The Long Drink
20,mezcalrosaluna.com,7617656729,2018-12-01,,,,,,,,,,,,,Rosaluna Mezcal
21,madremezcal.com,2263717464,2018-12-01,,,,,,,,,,,,,Madre Mezcal
22,properwhiskey.com,7740896584,2018-12-01,,,,,,,,,,,,,Proper 12
23,teremana.com,16168990751,2018-12-01,,,,,,,,,,,,,Teremana
24,properwhiskey.com,7740896584,2019-01-01,,,,,,,,,,,,,Proper 12
25,madremezcal.com,2263717464,2019-01-01,,,,,,,,,,,,,Madre Mezcal
26,thelongdrink.com,7521961287,2019-01-01,,,,,,,,,,,,,The Long Drink
27,lossundays.com,2179286233,2019-01-01,8377.0,2615.0,2603.1428,216.85715,8084.4287,227.0,165.0,5025.0,0.0028662428876018945,9.41154381003607e-05,0.7608695499210172,0.7608695499210172,Los Sundays
28,teremana.com,16168990751,2019-01-01,,,,,,,,,,,,,Teremana
29,drinkonda.com,19344966306,2019-01-01,,,,,,,,,,,,,Onda
30,ghosttequila.com,2694491630,2019-01-01,,,,,,,,,,,,,Ghost Tequila
31,mezcalrosaluna.com,7617656729,2019-01-01,,,,,,,,,,,,,Rosaluna Mezcal
32,teremana.com,16168990751,2019-02-01,,,,,,,,,,,,,Teremana
33,mezcalrosaluna.com,7617656729,2019-02-01,,,,,,,,,,,,,Rosaluna Mezcal
34,thelongdrink.com,7521961287,2019-02-01,,,,,,,,,,,,,The Long Drink
35,drinkonda.com,19344966306,2019-02-01,,,,,,,,,,,,,Onda
36,ghosttequila.com,2694491630,2019-02-01,,,,,,,,,,,,,Ghost Tequila
37,properwhiskey.com,7740896584,2019-02-01,576126.0,1.0,1.0,79.0,576126.0,79.0,2690.0,326098.0,0.007164791703221391,5.9102753410525486e-05,34.050632911392405,34.050632911392405,Proper 12
38,madremezcal.com,2263717464,2019-02-01,,,,,,,,,,,,,Madre Mezcal
39,lossundays.com,2179286233,2019-02-01,8672.0,2697.0,2653.2,229.2,8397.8,240.0,191.0,5993.0,0.003113609566227301,9.923234225753621e-05,0.8333333444290207,0.8333333444290207,Los Sundays
40,madremezcal.com,2263717464,2019-03-01,,,,,,,,,,,,,Madre Mezcal
