,instagram_id,fct_date,canonical_brand_url,fct_followers_count,est_followers_count,fct_following_count,est_following_count,fct_posts_count,est_posts_count,execution_period,comments,likes
97,2179286233,2018-10-01,lossundays.com,,,,,,,2021-12,,
145,16168990751,2018-10-01,teremana.com,,,,,,,2021-12,,
108,211618639,2018-10-01,dulcevidaspirits.com,,,,,,,2021-12,,
159,2694491630,2018-10-01,ghosttequila.com,,,,,,,2021-12,,
209,7617656729,2018-10-01,mezcalrosaluna.com,,,,,,,2021-12,,
9,2263717464,2018-10-01,madremezcal.com,,,,,,,2021-12,,
162,7740896584,2018-10-01,properwhiskey.com,,,,,,,2021-12,,
235,211618639,2018-11-01,dulcevidaspirits.com,,,,,,,2021-12,,
237,2179286233,2018-11-01,lossundays.com,7457.0,7457.0,2546.0,2546.0,194.0,194.0,2021-12,188.0,6016.0
225,2694491630,2018-11-01,ghosttequila.com,,,,,,,2021-12,,
188,2263717464,2018-11-01,madremezcal.com,,,,,,,2021-12,,
102,16168990751,2018-11-01,teremana.com,,,,,,,2021-12,,
23,7617656729,2018-11-01,mezcalrosaluna.com,,,,,,,2021-12,,
137,7740896584,2018-11-01,properwhiskey.com,,,,,,,2021-12,,
30,2694491630,2018-12-01,ghosttequila.com,,,,,,,2021-12,,
52,7740896584,2018-12-01,properwhiskey.com,,,,,,,2021-12,,
115,2179286233,2018-12-01,lossundays.com,7813.0,7694.3335,2608.0,2587.3333,208.0,203.33333,2021-12,195.0,6144.0
20,2263717464,2018-12-01,madremezcal.com,,,,,,,2021-12,,
224,211618639,2018-12-01,dulcevidaspirits.com,,,,,,,2021-12,,
270,7617656729,2018-12-01,mezcalrosaluna.com,,,,,,,2021-12,,
146,16168990751,2018-12-01,teremana.com,,,,,,,2021-12,,
119,211618639,2019-01-01,dulcevidaspirits.com,,,,,,,2021-12,,
222,2263717464,2019-01-01,madremezcal.com,,,,,,,2021-12,,
64,7740896584,2019-01-01,properwhiskey.com,,,,,,,2021-12,,
142,16168990751,2019-01-01,teremana.com,,,,,,,2021-12,,
218,2179286233,2019-01-01,lossundays.com,8377.0,8084.4287,2615.0,2603.1428,227.0,216.85715,2021-12,165.0,5025.0
90,7617656729,2019-01-01,mezcalrosaluna.com,,,,,,,2021-12,,
43,2694491630,2019-01-01,ghosttequila.com,,,,,,,2021-12,,
216,16168990751,2019-02-01,teremana.com,,,,,,,2021-12,,
155,2694491630,2019-02-01,ghosttequila.com,,,,,,,2021-12,,
190,2263717464,2019-02-01,madremezcal.com,,,,,,,2021-12,,
265,7617656729,2019-02-01,mezcalrosaluna.com,,,,,,,2021-12,,
15,211618639,2019-02-01,dulcevidaspirits.com,,,,,,,2021-12,,
234,7740896584,2019-02-01,properwhiskey.com,576126.0,576126.0,1.0,1.0,79.0,79.0,2021-12,2690.0,326098.0
196,2179286233,2019-02-01,lossundays.com,8672.0,8397.8,2697.0,2653.2,240.0,229.2,2021-12,191.0,5993.0
263,2694491630,2019-03-01,ghosttequila.com,,,,,,,2021-12,,
19,211618639,2019-03-01,dulcevidaspirits.com,,,,,,,2021-12,,
266,7740896584,2019-03-01,properwhiskey.com,587712.0,583850.0,1.0,1.0,98.0,91.666664,2021-12,2720.0,305456.0
250,2179286233,2019-03-01,lossundays.com,8809.0,8610.032,2687.0,2670.6453,259.0,244.58064,2021-12,266.0,5676.0
59,16168990751,2019-03-01,teremana.com,,,,,,,2021-12,,
