,brand_name,unibi_word,counts
0,Athletic Greens,taste,229
1,Athletic Greens,’,201
2,Athletic Greens,green,87
3,Athletic Greens,expensive,86
4,Athletic Greens,difference,76
5,Athletic Greens,feel,66
6,Athletic Greens,really,62
7,Athletic Greens,benefit,53
8,Athletic Greens,price,51
9,Athletic Greens,would,48
10,Athletic Greens,drink,47
11,Athletic Greens,tried,47
12,Athletic Greens,athletic,46
13,Athletic Greens,athletic_green,45
14,Athletic Greens,better,42
15,Athletic Greens,taking,41
16,Athletic Greens,energy,39
17,Athletic Greens,week,37
18,Athletic Greens,month,36
19,Athletic Greens,flavor,35
20,Athletic Greens,health,35
21,Athletic Greens,ag,34
22,Athletic Greens,could,34
23,Athletic Greens,cost,33
24,Athletic Greens,one,33
25,Athletic Greens,subscription,33
26,Athletic Greens,time,33
27,Athletic Greens,every,31
28,Athletic Greens,felt,31
29,Athletic Greens,money,31
30,Athletic Greens,notice,31
31,Athletic Greens,sure,30
32,Athletic Greens,much,29
33,Athletic Greens,way,29
34,Athletic Greens,water,28
35,Athletic Greens,terrible,27
36,Athletic Greens,worth,27
37,Athletic Greens,different,26
38,Athletic Greens,first,26
39,Athletic Greens,make,26
40,Athletic Greens,morning,26
41,Athletic Greens,powder,26
42,Athletic Greens,bad,25
43,Athletic Greens,shipping,24
44,Athletic Greens,use,24
45,Athletic Greens,daily,23
46,Athletic Greens,change,22
47,Athletic Greens,day,22
48,Athletic Greens,try,22
49,Athletic Greens,noticed,21
50,Athletic Greens,horrible,20
51,Athletic Greens,still,20
52,Athletic Greens,stomach,20
53,Athletic Greens,two,20
54,Athletic Greens,wanted,20
55,Athletic Greens,supplement,19
56,Athletic Greens,take,19
57,Athletic Greens,disappointed,18
58,Athletic Greens,found,18
59,Athletic Greens,made,18
60,Athletic Greens,trying,18
61,Athletic Greens,used,18
62,Athletic Greens,vitamin,18
63,Athletic Greens,’_feel,18
64,Athletic Greens,ca,17
65,Athletic Greens,drinking,17
66,Athletic Greens,thing,17
67,Athletic Greens,awful,16
68,Athletic Greens,give,16
69,Athletic Greens,notice_difference,16
70,Athletic Greens,result,16
71,Athletic Greens,think,16
72,Athletic Greens,unfortunately,16
73,Athletic Greens,’_taste,16
74,Athletic Greens,anything,15
75,Athletic Greens,gritty,15
76,Athletic Greens,high,15
77,Athletic Greens,however,15
78,Athletic Greens,noticeable,15
79,Athletic Greens,something,15
80,Athletic Greens,taste_’,15
81,Athletic Greens,thought,15
82,Athletic Greens,improvement,14
83,Athletic Greens,know,14
84,Athletic Greens,lot,14
85,Athletic Greens,many,14
86,Athletic Greens,overall,14
87,Athletic Greens,tasted,14
88,Athletic Greens,well,14
89,Athletic Greens,wish,14
90,Athletic Greens,work,14
91,Athletic Greens,enjoy,13
92,Athletic Greens,fine,13
93,Athletic Greens,hoping,13
94,Athletic Greens,past,13
95,Athletic Greens,say,13
96,Athletic Greens,smoothie,13
97,Athletic Greens,taste_horrible,13
98,Athletic Greens,took,13
99,Athletic Greens,another,12
100,Athletic Greens,bag,12
101,Athletic Greens,excited,12
102,Athletic Greens,going,12
103,Athletic Greens,ingredient,12
104,Athletic Greens,mixing,12
105,Athletic Greens,nothing,12
106,Athletic Greens,people,12
107,Athletic Greens,product,12
108,Athletic Greens,quality,12
109,Athletic Greens,review,12
110,Athletic Greens,taste_bad,12
111,Athletic Greens,taste_terrible,12
112,Athletic Greens,yet,12
113,Athletic Greens,’_notice,12
114,Athletic Greens,cancel,11
115,Athletic Greens,every_morning,11
116,Athletic Greens,expected,11
117,Athletic Greens,gave,11
118,Athletic Greens,half,11
119,Athletic Greens,healthy,11
120,Athletic Greens,level,11
121,Athletic Greens,little,11
122,Athletic Greens,maybe,11
123,Athletic Greens,might,11
124,Athletic Greens,seem,11
125,Athletic Greens,shipment,11
126,Athletic Greens,stevia,11
127,Athletic Greens,tasting,11
128,Athletic Greens,two_month,11
129,Athletic Greens,’_sure,11
130,Athletic Greens,almost,10
131,Athletic Greens,body,10
132,Athletic Greens,difficult,10
133,Athletic Greens,find,10
134,Athletic Greens,long,10
135,Athletic Greens,mixed,10
136,Athletic Greens,point,10
137,Athletic Greens,reason,10
138,Athletic Greens,second,10
139,Athletic Greens,seen,10
140,Athletic Greens,service,10
141,Athletic Greens,tell,10
142,Athletic Greens,texture,10
143,Athletic Greens,without,10
144,Athletic Greens,’_expensive,10
145,Athletic Greens,buy,9
146,Athletic Greens,energy_level,9
147,Athletic Greens,experience,9
148,Athletic Greens,feel_difference,9
149,Athletic Greens,feel_different,9
150,Athletic Greens,gross,9
151,Athletic Greens,help,9
152,Athletic Greens,keep,9
153,Athletic Greens,mix,9
154,Athletic Greens,need,9
155,Athletic Greens,pretty,9
156,Athletic Greens,probably,9
157,Athletic Greens,purchase,9
158,Athletic Greens,smoothy,9
159,Athletic Greens,sorry,9
160,Athletic Greens,sweet,9
161,Athletic Greens,advertised,8
162,Athletic Greens,big,8
163,Athletic Greens,definitely,8
164,Athletic Greens,dissolve,8
165,Athletic Greens,effect,8
166,Athletic Greens,end,8
167,Athletic Greens,feeling,8
168,Athletic Greens,felt_difference,8
169,Athletic Greens,getting,8
170,Athletic Greens,green_powder,8
171,Athletic Greens,handle,8
172,Athletic Greens,jar,8
173,Athletic Greens,juice,8
174,Athletic Greens,monthly,8
175,Athletic Greens,next,8
176,Athletic Greens,ok,8
177,Athletic Greens,overpriced,8
178,Athletic Greens,past_taste,8
179,Athletic Greens,pay,8
180,Athletic Greens,really_wanted,8
181,Athletic Greens,shaker,8
182,Athletic Greens,shipped,8
183,Athletic Greens,similar,8
184,Athletic Greens,stand,8
185,Athletic Greens,stuff,8
186,Athletic Greens,support,8
187,Athletic Greens,sure_’,8
188,Athletic Greens,terrible_taste,8
189,Athletic Greens,want,8
190,Athletic Greens,waste,8
191,Athletic Greens,’_really,8
192,Athletic Greens,able,7
193,Athletic Greens,always,7
194,Athletic Greens,arrive,7
195,Athletic Greens,back,7
196,Athletic Greens,canceling,7
197,Athletic Greens,choke,7
198,Athletic Greens,come,7
199,Athletic Greens,container,7
200,Athletic Greens,continue,7
201,Athletic Greens,difference_energy,7
202,Athletic Greens,due,7
203,Athletic Greens,finish,7
204,Athletic Greens,grainy,7
205,Athletic Greens,health_benefit,7
206,Athletic Greens,le,7
207,Athletic Greens,multivitamin,7
208,Athletic Greens,others,7
209,Athletic Greens,overall_health,7
210,Athletic Greens,packaging,7
211,Athletic Greens,regular,7
212,Athletic Greens,right,7
213,Athletic Greens,scoop,7
214,Athletic Greens,taste_awful,7
215,Athletic Greens,tell_difference,7
216,Athletic Greens,thought_would,7
217,Athletic Greens,three,7
218,Athletic Greens,waste_money,7
219,Athletic Greens,’_drink,7
220,Athletic Greens,’_past,7
221,Athletic Greens,’_tried,7
222,Athletic Greens,added,6
223,Athletic Greens,ago,6
224,Athletic Greens,already,6
225,Athletic Greens,based,6
226,Athletic Greens,cancel_subscription,6
227,Athletic Greens,chalky,6
228,Athletic Greens,couple,6
229,Athletic Greens,difference_taking,6
230,Athletic Greens,eat,6
231,Athletic Greens,else,6
232,Athletic Greens,empty,6
233,Athletic Greens,everyone,6
234,Athletic Greens,excited_try,6
235,Athletic Greens,extra,6
236,Athletic Greens,feel_better,6
237,Athletic Greens,feel_much,6
238,Athletic Greens,honestly,6
239,Athletic Greens,idea,6
240,Athletic Greens,impressed,6
241,Athletic Greens,improve,6
242,Athletic Greens,justify,6
243,Athletic Greens,last,6
244,Athletic Greens,least,6
245,Athletic Greens,life,6
246,Athletic Greens,liked,6
247,Athletic Greens,longer,6
248,Athletic Greens,looking,6
249,Athletic Greens,matter,6
250,Athletic Greens,may,6
251,Athletic Greens,nutrient,6
252,Athletic Greens,option,6
253,Athletic Greens,package,6
254,Athletic Greens,pineapple,6
255,Athletic Greens,pouch,6
256,Athletic Greens,price_point,6
257,Athletic Greens,rather,6
258,Athletic Greens,sadly,6
259,Athletic Greens,serving,6
260,Athletic Greens,shake,6
261,Athletic Greens,stand_taste,6
262,Athletic Greens,stop,6
263,Athletic Greens,swallow,6
264,Athletic Greens,welcome,6
265,Athletic Greens,went,6
266,Athletic Greens,worth_price,6
267,Athletic Greens,zero,6
268,Athletic Greens,’_’,6
269,Athletic Greens,“,6
270,Athletic Greens,”,6
271,Athletic Greens,apple,5
272,Athletic Greens,cancelled,5
273,Athletic Greens,claim,5
274,Athletic Greens,completely,5
275,Athletic Greens,diet,5
276,Athletic Greens,drink_every,5
277,Athletic Greens,empty_stomach,5
278,Athletic Greens,especially,5
279,Athletic Greens,everyday,5
280,Athletic Greens,expect,5
281,Athletic Greens,fact,5
282,Athletic Greens,fruit,5
283,Athletic Greens,full,5
284,Athletic Greens,get,5
285,Athletic Greens,given,5
286,Athletic Greens,glass,5
287,Athletic Greens,green_taste,5
288,Athletic Greens,heard,5
289,Athletic Greens,huge,5
290,Athletic Greens,impact,5
291,Athletic Greens,issue,5
292,Athletic Greens,kept,5
293,Athletic Greens,many_people,5
294,Athletic Greens,market,5
295,Athletic Greens,medicine,5
296,Athletic Greens,month_’,5
297,Athletic Greens,nearly,5
298,Athletic Greens,noticed_difference,5
299,Athletic Greens,pack,5
300,Athletic Greens,paid,5
301,Athletic Greens,paying,5
302,Athletic Greens,per,5
303,Athletic Greens,pill,5
304,Athletic Greens,real,5
305,Athletic Greens,receive,5
306,Athletic Greens,said,5
307,Athletic Greens,saw,5
308,Athletic Greens,seems,5
309,Athletic Greens,star,5
310,Athletic Greens,still_waiting,5
311,Athletic Greens,stopped,5
312,Athletic Greens,subscription_’,5
313,Athletic Greens,super,5
314,Athletic Greens,supply,5
315,Athletic Greens,sweetness,5
316,Athletic Greens,taking_ag,5
317,Athletic Greens,taking_month,5
318,Athletic Greens,taste_would,5
319,Athletic Greens,travel,5
320,Athletic Greens,waiting,5
321,Athletic Greens,wasted,5
322,Athletic Greens,whole,5
323,Athletic Greens,wo,5
324,Athletic Greens,worst,5
325,Athletic Greens,’_noticed,5
326,Athletic Greens,’_taking,5
327,Athletic Greens,ad,4
328,Athletic Greens,add,4
329,Athletic Greens,advertising,4
330,Athletic Greens,amount,4
331,Athletic Greens,anymore,4
332,Athletic Greens,artificial,4
333,Athletic Greens,bad_’,4
334,Athletic Greens,believe,4
335,Athletic Greens,bottom,4
336,Athletic Greens,buying,4
337,Athletic Greens,cancelled_subscription,4
338,Athletic Greens,ceramic,4
339,Athletic Greens,cheaper,4
340,Athletic Greens,company,4
341,Athletic Greens,concept,4
342,Athletic Greens,consistently,4
343,Athletic Greens,delivery,4
344,Athletic Greens,difference_’,4
345,Athletic Greens,disgusting,4
346,Athletic Greens,drank,4
347,Athletic Greens,drink_’,4
348,Athletic Greens,eating,4
349,Athletic Greens,email,4
350,Athletic Greens,enjoy_taste,4
351,Athletic Greens,enjoyed,4
352,Athletic Greens,enough,4
353,Athletic Greens,expecting,4
354,Athletic Greens,expense,4
355,Athletic Greens,expensive_’,4
356,Athletic Greens,experienced,4
357,Athletic Greens,fan,4
358,Athletic Greens,first_time,4
359,Athletic Greens,food,4
360,Athletic Greens,fully,4
361,Athletic Greens,half_price,4
362,Athletic Greens,hand,4
363,Athletic Greens,hate,4
364,Athletic Greens,hope,4
365,Athletic Greens,hopeful,4
