,normalized_url,review_date,count,cumulative,Brand,product_count,reviewsPerProduct
42,cerave.com,2021-07-01,67,67,Cerave,189,0.3544973544973545
558,cleanandclear.com,2021-07-01,4,4,Clean & Clear,74,0.05405405405405406
315,cetaphil.com,2021-07-01,20,20,Cetaphil,175,0.11428571428571428
763,hellobubble.com,2021-07-01,9,9,Bubble,10,0.9
934,neutrogena.com,2021-07-01,56,56,Neutrogena,742,0.07547169811320754
383,cetaphil.com,2021-07-02,13,33,Cetaphil,175,0.18857142857142858
43,cerave.com,2021-07-02,67,134,Cerave,189,0.708994708994709
794,hellobubble.com,2021-07-02,4,13,Bubble,10,1.3
928,neutrogena.com,2021-07-02,61,117,Neutrogena,742,0.15768194070080863
543,cleanandclear.com,2021-07-02,6,10,Clean & Clear,74,0.13513513513513514
69,cerave.com,2021-07-03,60,194,Cerave,189,1.0264550264550265
366,cetaphil.com,2021-07-03,14,47,Cetaphil,175,0.26857142857142857
779,hellobubble.com,2021-07-03,5,18,Bubble,10,1.8
955,neutrogena.com,2021-07-03,43,160,Neutrogena,742,0.215633423180593
539,cleanandclear.com,2021-07-03,7,17,Clean & Clear,74,0.22972972972972974
939,neutrogena.com,2021-07-04,49,209,Neutrogena,742,0.2816711590296496
201,cerave.com,2021-07-04,35,229,Cerave,189,1.2116402116402116
559,cleanandclear.com,2021-07-04,4,21,Clean & Clear,74,0.28378378378378377
339,cetaphil.com,2021-07-04,17,64,Cetaphil,175,0.3657142857142857
834,hellobubble.com,2021-07-04,2,20,Bubble,10,2.0
926,neutrogena.com,2021-07-05,65,274,Neutrogena,742,0.3692722371967655
429,cetaphil.com,2021-07-05,10,74,Cetaphil,175,0.4228571428571429
600,cleanandclear.com,2021-07-05,2,23,Clean & Clear,74,0.3108108108108108
780,hellobubble.com,2021-07-05,5,25,Bubble,10,2.5
150,cerave.com,2021-07-05,43,272,Cerave,189,1.439153439153439
795,hellobubble.com,2021-07-06,4,29,Bubble,10,2.9
321,cetaphil.com,2021-07-06,19,93,Cetaphil,175,0.5314285714285715
549,cleanandclear.com,2021-07-06,5,28,Clean & Clear,74,0.3783783783783784
56,cerave.com,2021-07-06,63,335,Cerave,189,1.7724867724867726
921,neutrogena.com,2021-07-06,78,352,Neutrogena,742,0.4743935309973046
535,cleanandclear.com,2021-07-07,8,36,Clean & Clear,74,0.4864864864864865
9,cerave.com,2021-07-07,85,420,Cerave,189,2.2222222222222223
796,hellobubble.com,2021-07-07,4,33,Bubble,10,3.3
922,neutrogena.com,2021-07-07,75,427,Neutrogena,742,0.5754716981132075
367,cetaphil.com,2021-07-07,14,107,Cetaphil,175,0.6114285714285714
932,neutrogena.com,2021-07-08,57,484,Neutrogena,742,0.6522911051212938
15,cerave.com,2021-07-08,81,501,Cerave,189,2.6507936507936507
560,cleanandclear.com,2021-07-08,4,40,Clean & Clear,74,0.5405405405405406
332,cetaphil.com,2021-07-08,18,125,Cetaphil,175,0.7142857142857143
770,hellobubble.com,2021-07-08,6,39,Bubble,10,3.9
781,hellobubble.com,2021-07-09,5,44,Bubble,10,4.4
17,cerave.com,2021-07-09,79,580,Cerave,189,3.068783068783069
282,cetaphil.com,2021-07-09,31,156,Cetaphil,175,0.8914285714285715
948,neutrogena.com,2021-07-09,46,530,Neutrogena,742,0.7142857142857143
601,cleanandclear.com,2021-07-09,2,42,Clean & Clear,74,0.5675675675675675
179,cerave.com,2021-07-10,39,619,Cerave,189,3.2751322751322753
301,cetaphil.com,2021-07-10,23,179,Cetaphil,175,1.022857142857143
