source_name,tokenized_review,tokenized_review
credo,skin,756
credo,’,411
credo,sunscreen,341
credo,feel,306
credo,really,209
credo,use,197
credo,go,158
credo,nice,135
credo,smell,135
credo,make,130
credo,well,129
credo,moisturizer,127
credo,light,124
credo,cast,119
credo,dry,118
credo,cleanser,113
credo,work,113
credo,acne,112
credo,one,112
credo,little,111
credo,clean,106
credo,leave,103
credo,texture,103
credo,kinship,102
credo,makeup,97
credo,would,95
credo,spf,92
credo,oily,89
credo,scent,89
credo,used,88
credo,look,87
credo,time,85
credo,amazing,83
credo,leaf,83
credo,sensitive,83
credo,without,83
credo,cream,82
credo,much,81
credo,eye,79
credo,feeling,78
credo,super,78
credo,breakout,77
credo,product,77
credo,glow,74
credo,price,74
credo,smooth,74
credo,week,74
credo,greasy,73
credo,tried,73
credo,mask,72
credo,moisturizing,72
credo,oil,68
credo,definitely,67
credo,way,67
credo,first,62
credo,looking,61
credo,new,61
credo,bit,59
credo,give,59
credo,long,59
credo,help,57
credo,think,57
credo,morning,53
credo,night,53
credo,pimple,53
credo,wear,53
credo,gentle,50
credo,still,47
credo,break,46
credo,need,45
credo,pad,45
credo,perfect,45
credo,every,44
credo,favorite,44
credo,ingredient,44
credo,soft,44
credo,heavy,43
credo,put,43
credo,hydrating,42
credo,lip,42
credo,routine,41
credo,spot,41
credo,find,40
credo,mineral,40
credo,quickly,40
credo,blend,39
credo,sun,39
credo,better,38
credo,pretty,38
credo,say,38
credo,treatment,38
credo,easy,37
credo,enough,37
credo,lightweight,37
credo,made,37
credo,found,36
credo,lot,36
credo,size,36
credo,apply,35
credo,clear,35
credo,daily,35
credo,everyday,35
credo,dewy,34
credo,highly,34
credo,last,34
credo,point,34
credo,pore,34
credo,brand,33
credo,difference,33
credo,drying,33
credo,finish,33
credo,usually,33
credo,always,32
credo,buy,32
credo,day,32
credo,noticed,32
credo,sure,32
credo,away,31
credo,effective,31
credo,ever,31
credo,glowy,31
credo,hydrated,31
credo,keep,31
credo,try,31
credo,wash,31
credo,anything,30
credo,consistency,30
credo,felt,30
credo,right,30
credo,helped,29
credo,absolutely,28
credo,almost,28
credo,slight,28
credo,something,28
credo,summer,28
credo,yet,28
credo,absorbs,27
credo,blemish,27
credo,happy,27
credo,job,27
credo,nicely,27
credo,zinc,27
credo,everything,26
credo,result,26
credo,seems,26
credo,sticky,26
credo,take,26
credo,thing,26
credo,vanilla,26
credo,amount,25
credo,area,25
credo,gel,25
credo,lovely,25
credo,skincare,25
credo,stuff,25
credo,though,25
credo,want,25
credo,wearing,25
credo,hormonal,24
credo,moisturized,24
credo,natural,24
credo,protection,24
credo,serum,24
credo,slightly,24
credo,subtle,24
credo,tinted,24
credo,wanted,24
credo,actually,23
credo,ca,23
credo,could,23
credo,layer,23
credo,tint,23
credo,bad,22
credo,bought,22
credo,come,22
credo,creamy,22
credo,credo,22
credo,le,22
credo,left,22
credo,purchase,22
credo,review,22
credo,working,22
credo,either,21
credo,moisture,21
credo,overall,21
credo,probably,21
credo,rub,21
credo,smoothly,21
credo,top,21
credo,trying,21
credo,wonderful,21
credo,application,20
credo,completely,20
credo,many,20
credo,minute,20
credo,packaging,20
credo,second,20
credo,wish,20
credo,around,19
credo,beauty,19
credo,cause,19
credo,facial,19
credo,high,19
credo,know,19
credo,month,19
credo,overnight,19
credo,purchased,19
credo,residue,19
credo,two,19
credo,based,18
credo,easily,18
credo,end,18
credo,especially,18
credo,foundation,18
credo,getting,18
credo,however,18
credo,notice,18
credo,started,18
credo,strong,18
credo,applying,17
credo,awesome,17
credo,back,17
credo,color,17
credo,complexion,17
credo,formula,17
credo,hydrate,17
credo,may,17
credo,papaya,17
credo,pleasant,17
credo,prone,17
credo,remove,17
credo,thick,17
credo,tone,17
credo,year,17
credo,beautifully,16
credo,big,16
credo,fragrance,16
credo,fresh,16
credo,glad,16
credo,going,16
credo,line,16
credo,loved,16
credo,maybe,16
credo,redness,16
credo,repurchase,16
credo,shiny,16
credo,small,16
credo,within,16
credo,applies,15
credo,buying,15
credo,chin,15
credo,combination,15
credo,coverage,15
credo,dark,15
credo,extra,15
credo,harsh,15
credo,hate,15
credo,huge,15
credo,irritation,15
credo,making,15
credo,perfectly,15
credo,physical,15
credo,plus,15
credo,prefer,15
credo,refreshing,15
credo,several,15
credo,sheer,15
credo,star,15
credo,supermello,15
credo,already,14
credo,applied,14
credo,beautiful,14
credo,combo,14
credo,couple,14
credo,fan,14
credo,get,14
credo,hour,14
credo,irritate,14
credo,issue,14
credo,kind,14
credo,marshmallow,14
credo,problem,14
credo,reason,14
credo,sometimes,14
credo,sweet,14
credo,affordable,13
credo,brightening,13
credo,different,13
credo,else,13
credo,fine,13
credo,full,13
credo,gone,13
credo,loving,13
credo,might,13
credo,patch,13
credo,people,13
credo,reduce,13
credo,said,13
credo,sink,13
credo,truly,13
credo,tube,13
credo,zit,13
credo,another,12
credo,dream,12
credo,effect,12
credo,enjoy,12
credo,excited,12
credo,live,12
credo,matte,12
credo,neck,12
credo,next,12
credo,obsessed,12
credo,overpowering,12
credo,putting,12
credo,reflect,12
credo,run,12
credo,self,12
credo,sheen,12
credo,smoother,12
credo,sweat,12
credo,tell,12
credo,totally,12
credo,type,12
credo,worked,12
credo,worse,12
credo,able,11
credo,acne-prone,11
credo,care,11
credo,change,11
credo,cleared,11
credo,continue,11
credo,done,11
credo,exfoliating,11
credo,fair,11
credo,go-to,11
credo,honestly,11
credo,immediately,11
credo,improvement,11
credo,lotion,11
credo,melt,11
credo,nothing,11
credo,nourishing,11
credo,potion,11
credo,quality,11
credo,quite,11
credo,reaction,11
credo,recently,11
credo,seen,11
credo,smaller,11
credo,stay,11
credo,twice,11
credo,winter,11
credo,bed,10
credo,brighter,10
credo,cleansing,10
credo,delicious,10
credo,dried,10
credo,fantastic,10
credo,finally,10
credo,hand,10
credo,healthy,10
credo,higher,10
credo,impressed,10
credo,larger,10
credo,life,10
credo,longer,10
credo,medium,10
credo,moisturizers,10
credo,non,10
credo,oxide,10
credo,primer,10
credo,rose,10
credo,safe,10
credo,start,10
credo,sting,10
credo,water,10
credo,worth,10
credo,afterwards,9
credo,alone,9
credo,become,9
credo,blackhead,9
credo,bonus,9
credo,chalky,9
credo,cleaner,9
credo,clog,9
credo,clogged,9
credo,extremely,9
credo,gotten,9
credo,helping,9
credo,hydration,9
credo,initially,9
credo,juice,9
credo,keeping,9
credo,love,9
credo,moisturizes,9
credo,needed,9
credo,often,9
credo,old,9
credo,painful,9
credo,provides,9
credo,red,9
credo,refreshed,9
credo,seem,9
credo,soothing,9
credo,step,9
credo,streak,9
credo,swipe,9
credo,throughout,9
credo,unfortunately,9
credo,us,9
credo,weather,9
credo,wonder,9
credo,along,8
credo,balm,8
credo,bump,8
credo,burn,8
credo,circle,8
credo,control,8
credo,cystic,8
credo,double,8
credo,drop,8
credo,due,8
credo,fade,8
credo,finding,8
credo,forehead,8
credo,forever,8
credo,fully,8
credo,glowing,8
credo,home,8
credo,instead,8
credo,jar,8
credo,lather,8
credo,let,8
credo,literally,8
credo,maskne,8
credo,mud,8
credo,normally,8
credo,out,8
credo,protects,8
credo,reapply,8
credo,recommended,8
credo,repurchasing,8
credo,rich,8
credo,skinned,8
credo,sold,8
credo,stop,8
credo,struggled,8
credo,switch,8
credo,tend,8
credo,thank,8
credo,tingle,8
credo,ton,8
credo,took,8
credo,trick,8
credo,unlike,8
credo,wake,8
credo,weird,8
credo,went,8
credo,wipe,8
credo,wow,8
credo,acid,7
credo,add,7
credo,addition,7
credo,although,7
credo,appear,7
credo,beach,7
credo,brown,7
credo,came,7
credo,changed,7
credo,cheek,7
credo,cleanse,7
credo,coming,7
credo,company,7
credo,forward,7
credo,friend,7
credo,fun,7
credo,gave,7
credo,hoping,7
credo,irritated,7
credo,large,7
credo,leaving,7
credo,liked,7
credo,low,7
credo,mind,7
credo,mix,7
credo,normal,7
credo,noticeable,7
credo,ocean,7
credo,otherwise,7
credo,past,7
credo,per,7
credo,person,7
