,product_name,review_rating,tokenized_review,normalized_url
0,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,bubble,1
15,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,cranberry,1
14,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,bubble,1
13,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,brought,1
12,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,beverage,1
10,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alternative,1
36,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,u,1
9,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alcoholic,1
7,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,added,1
6,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,absolutely,1
3,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,soda,1
2,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,flavor,1
1,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,drink,1
19,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,guest,1
20,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,highly,1
21,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,hit,1
22,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,non,1
23,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,nonalcoholic,1
73,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,need,1
77,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,pretty,1
71,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,missing,1
35,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tost,1
34,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tasting,1
33,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,taste,1
16,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,crisp,1
31,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,substitute,1
29,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,serve,1
28,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,rose,1
27,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,plus,1
26,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,people,1
25,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,paint,1
24,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,original,1
