author,date,review_content,product_name,review_rating
camysmom,27-Dec-20,"This sparkling is made of agave, white tea, white cranberry and ginger extract. It has a unique pleasant taste with a slight hint of sweetness, unlike most sparkling grape juice. It's bubbly just like champagne so it's great for toasting in a champagne flute or wine glass without the alcohol. It is very bubbly and will bubble over but IMO it sets the mood to a festive occasion! Awesome for baby showers and gift giving to those who don't consume alcohol. The only downside is that it's costly.","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Beaker,13-Jun-21,Very good. Great for people who can't have alcohol or just don't want to. I bought it for a Mom-to-be for her baby shower and a friend with kidney disease that cannot drink alcohol. Big hits and great flavor. I will buy it again.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
David C. Jones,9-Jul-21,"I was introduced to this drink when it was given to me as a gift. I enjoyed it but couldn't find it locally, even though it is apparently a Vermont product (and I live in VT). I ordered it on Amazon. Unfortunately, although I ordered a dozen bottles, only 9 came in the shipping box and 1 of those bottles was broken in shipping. The vendor immediately shipped me 4 bottles to replace the broken one and the 3 missing bottles. Great product and great customer service! I can't wait to see if they come up with more flavors than this one and the Rose. Both are delicious.","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Julie Parrish,30-Jan-22,1 of the 3 bottles was broken. Can't find a way to get a replacement. No contact seller link and can't go through replacement links with Amazon stating it's not eligible. Sad since we love the product and paid quite a bit for the bottles. I would order again but not now due to lack of customer service and out money for a product we didn't get to use.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",1
tracie,20-Jan-21,Yummmm perfect for pregnancy drink to celebrate with or just enjoy.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Amy Culver,8-Jan-22,I ordered this in early December but it got lost somewhere along the way. Was able to cx that order and ordered again. No issues w delivery this time and it's really yummy! Great AF option for those who are looking for it.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Jackie Dunn,24-Jan-22,I love the taste but I have actually opened three bottles at different times and every one exploded with bubbles spilling about a 1/4 of the Bottle. Embarrassing when you take it to guests.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",3
Michael R.,26-Jan-22,"I love this product, when it arrives in one piece. Unfortunately not the case for me this time.","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",2
Robert Foster,11-Feb-22,Great value for the money,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Txchase,10-Oct-21,Love these Tost faux wines! Tastes refreshing and delicious,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
LC,26-Oct-21,Two of the three bottles ordered arrived broken and the third one had the label come off. Item was supposed to be a gift for a pregnant friend.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",1
Ludmila,30-Jul-21,"Pleasant, but a little too sweet for my taste. A nice taste with fine bubble, but a little too sweet for me.","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",3
DM,26-Nov-21,Very tasty. Bubbly. Enjoyed this on thanksgiving instead of wine!!,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
ansopan,17-Feb-22,"Was worried that bottlles will be broken. But came all in proper shape, no spill. Tasty and very luxurious.","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
William H.,5-Jul-21,Perfect non alcoholic cocktail for your friends who don't drink or are pregnant. Light delicious bubbly and fun,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Darren Johnson,15-Jun-21,Not for everyone but I think it has a great taste.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",4
JHM,2-Feb-21,"A terrific, refreshing, alternative to alcohol during my evening “calm downs” after a day of work. Pour some over ice is a pretty glass...Delish!","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Amazon Customer,12-Jun-21,Tastes just like champagne but no alcohol,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
E,29-Dec-20,Great tasting sparkling drink.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Amazon customer,12-Apr-21,"My friend brought tost to our little weekend party, I was totally in love with it. Now I'm obsessed with it! ❤️","TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
healed!,31-Jul-21,Chill and pour in champagne glasses and feel fancy!,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",4
Amazon Customer,13-Oct-21,CAME BROKEN REPLACE THANKYOU,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",1
Nicole R.,31-Dec-21,Not sweet.really good AF treat,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Doglover4,7-Mar-21,Bottles came broken which is disappointing for the cost,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",2
zina,20-Sep-21,One bottle came broken.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",1
Peter Inneh,17-Mar-21,Tasty af,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
K. Joyce,7-Feb-21,I absolutely love this product! Great taste and carbonation. Wonderful non-alcoholic beverage.,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
SZ,14-Jan-22,I haven't been able to drink for over a year because I had a baby and I've tried a bunch of non-alcoholic drinks. This one is my fav- not too sweet and has a crisp & refreshing taste!,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",5
Sexy chocolate ,3-Jan-22,It had no taste. I was expecting to taste a gingery taste it was totally flat. I wasted my money,"TÖST All-Natural Non-Alcoholic Sparkling Beverage with White tea, White cranberry, Ginger, 25.4 Fl Oz (Pack of 6)",1
R. Henry,8-Jun-21,Some of the items arrived damaged. Otherwise I really love this product it cuts my wine cravings. Just would like to have them all in one piece especially since it's expensive. Would like to have a replacement since a couple were broken.,"TÖST Rosé All-Natural Non-Alcoholic Sparkling Beverage Refresher with White tea, Elderberry, Ginger, 25.4 Fl Oz (Rosé, Pack of 3)",1
Joni LaFerriere,3-Aug-21,"I can no longer drink alcohol and this product is a great substitute! It looks like a sparkling rose in a sophisticated bottle, but contains zero alcohol and NO chemicals. It can be too sweet if I drink too much of it, but is low sugar at only 9 grams. Add a little seltzer to it in a pretty glass and it feels like happy hour without the awful side effects.","TÖST Rosé All-Natural Non-Alcoholic Sparkling Beverage Refresher with White tea, Elderberry, Ginger, 25.4 Fl Oz (Rosé, Pack of 3)",5
Emily Schmitt,23-Sep-21,Really disappointed. One bottle arrived. It was shattered. Amazon won't let me flag for a replacement.,"TÖST Rosé All-Natural Non-Alcoholic Sparkling Beverage Refresher with White tea, Elderberry, Ginger, 25.4 Fl Oz (Rosé, Pack of 3)",1
