,product_name,review_rating,tokenized_review,normalized_url,rating
100,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,artificial,1,Positive
107,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ginger,1,Positive
106,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,flowery,1,Positive
105,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,fizzed,1,Positive
104,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,day,1,Positive
103,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bunch,1,Positive
102,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bueno,1,Positive
99,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,anyone,1,Positive
98,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,amazing,1,Positive
97,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ale,1,Positive
96,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,added,1,Positive
101,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bottle,1,Positive
108,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,head,1,Positive
126,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,adult,1,Positive
153,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,u,1,Positive
125,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,whole,1,Positive
124,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,upright,1,Positive
132,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,celebrating,1,Positive
149,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,substitute,1,Positive
147,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,sickly,1,Positive
146,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,reshresing,1,Positive
145,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,replacement,1,Positive
143,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,really,1,Positive
141,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,picnic,1,Positive
137,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,kid,1,Positive
140,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,perfect,1,Positive
138,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,lady,1,Positive
136,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,glass,1,Positive
135,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,flavor,1,Positive
133,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,delicious,1,Positive
111,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,one,1,Positive
142,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,pregnant,1,Positive
150,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,summer❤️,1,Positive
116,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sink,1,Positive
123,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,tea,1,Positive
121,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sure,1,Positive
120,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sugar,1,Positive
119,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,subtle,1,Positive
118,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,standing,1,Positive
117,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,somewhere,1,Positive
110,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ok,1,Positive
109,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,issue,1,Positive
114,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,overflowed,1,Positive
113,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,opening,1,Positive
112,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,opened,1,Positive
129,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,anything,1,Positive
130,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,beautiful,1,Positive
131,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,buy,1,Positive
115,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,pretty,1,Positive
24,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,original,1,Positive
25,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,paint,1,Positive
26,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,people,1,Positive
27,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,plus,1,Positive
28,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,rose,1,Positive
127,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,alcohol,1,Positive
31,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,substitute,1,Positive
16,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,crisp,1,Positive
33,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,taste,1,Positive
34,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tasting,1,Positive
35,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tost,1,Positive
23,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,nonalcoholic,1,Positive
22,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,non,1,Positive
21,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,hit,1,Positive
15,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,cranberry,1,Positive
