normalized_url,brand_name,author,date,rev_content,review_rating
athleticgreens.com,Athletic Greens,Zannah M.,4/29/22," Great way to start the day. Covers so many nutritional needs. Good for gut health and the immune system. Good for the hormones. Good for energy. Gets me the needed vitamins and minerals. It makes it easier to have a busy day when I can’t cook and, even with home cooking, we need additional nutrients. I recommend this to clients, too. It’s actually",4
athleticgreens.com,Athletic Greens,Matt K.,4/29/22, Way to expensive ,3
athleticgreens.com,Athletic Greens,William R.,4/29/22, It gets me through half the day without feeling hungry or snacking. ,5
athleticgreens.com,Athletic Greens,Enrique M.,4/29/22, Can’t live without it ,5
athleticgreens.com,Athletic Greens,Maksim V.,4/29/22, Been taking it daily for 3 months. Don't feel the positive effects promissed ,3
athleticgreens.com,Athletic Greens,Dawn S.,4/29/22," I listened to the social media content creators and influencers. They mentioned the “sweet like bubblegum “ taste, the great energy, and their long term loyalty to AG1. Previously, I took a high-quality daily vitamin and immune booster. I’m 10 weeks in with AG1. I drink it first thing every morning. The taste is easily tolerable. The energy is gentle and long. My digestion is regular. I can’t put my finger on exactly why; I just feel better. Try it for 4 weeks and see if it works for you. It’s not for everyone but I haven’t read any negative reviews. The only areas for improvement in my mind are the cost and length of shipping. ",5
athleticgreens.com,Athletic Greens,Scott M.,4/28/22," Only wish they could do something about the foaming after is is shaken up in the bottle, a lot of waste. Other than that have been very happy with the effects on my body!!!! ",5
athleticgreens.com,Athletic Greens,Brianna R.,4/28/22, I fast in the mornings so I prefer to drink my athletic green before working out and I feel great. It gives me a boost for my workout. I love the taste I find it r ,5
athleticgreens.com,Athletic Greens,Joseph W.,4/28/22," It is the most expensive supplement of this type on the market. After 2 months I didn't notice any difference in my energy, health, etc. Maybe I was healthier while taking it but is hard to quantify. ",3
athleticgreens.com,Athletic Greens,Garrett F.,4/28/22, Great stuff - Just not within my budget ,5
athleticgreens.com,Athletic Greens,Clint C.,4/28/22, Tastes great and makes me feel great! I love it! ,5
athleticgreens.com,Athletic Greens,Greg B.,4/28/22," Daily use is not resulting in any subjective improvement in my life, so I don’t know whether I’ll continue or not. ",3
athleticgreens.com,Athletic Greens,Lindsay A.,4/28/22, best addition to my daily morning routine ,5
athleticgreens.com,Athletic Greens,Donna S.,4/28/22, I have more energy than I had before I started taking AG1! ,5
athleticgreens.com,Athletic Greens,Justin C.,4/28/22, I love the taste and functionality of this product ,5
athleticgreens.com,Athletic Greens,Lourdes D.,4/29/22, Good honest people to do business with ,5
athleticgreens.com,Athletic Greens,Wade S.,4/29/22," I like the subscription model of Athletic Greens. I think it is too expensive and does not dissolve very well in plain water. I think it is probably beneficial for my health, but I don't notice a difference when I don't take it. ",4
athleticgreens.com,Athletic Greens,Therese M.,4/29/22, love the product ,5
athleticgreens.com,Athletic Greens,Andrew K.,4/29/22, I drink it right when I wake. Makes for a great start to my day ,5
athleticgreens.com,Athletic Greens,Dusty R.,4/29/22, I took the greens for two weeks and no change therefore have stopped taking it. Do not ship me any more product..  ,2
athleticgreens.com,Athletic Greens,Kathy R.,4/29/22," Love the test and energy it gives me. Things that could be improved are a fully disolving product. Some powder doesnt mix, settles, gritty last sips. Also wish the bottle was glass and machine washable :) ",4
athleticgreens.com,Athletic Greens,Christine M.,4/29/22, Outstanding product ,5
athleticgreens.com,Athletic Greens,Jeremiah T.,4/29/22," Its not a bad flavor but its also not good, it makes me feel great but its hard for me to get down without gagging at the end ",3
athleticgreens.com,Athletic Greens,Suzanne M.,4/29/22, Very refreshing first thing in the morning  ,4
athleticgreens.com,Athletic Greens,Matthew W.,4/29/22, I felt slightly better taking these but the cost was just too much. ,3
athleticgreens.com,Athletic Greens,Leslie C.,4/29/22," I always feel great when I stick to a routine and drink my AG1 everyday! At home I use a canister to store and enjoy my AG1 in the morning, BUT the traveling packets can get MESSY! The powder is very refine and usually I only have access to water bottles on the road, so I hope in the future the packaging is updated for ease of use. ",4
athleticgreens.com,Athletic Greens,Paul N.,4/29/22, Absolutely feel a change since I started to use AG. More energy and feel healthy. ,5
athleticgreens.com,Athletic Greens,Adrienne H.,4/29/22, I enjoy drinking my vitamins and the flavor of AG1 works for me. I wish they didn’t separate once mixed but overall they are good! ,4
