author,date,title,review,stars
m.,1/18/22,CBD Baby Steps,"This was gifted to me by Fleur Marche for review. After going through 4 patches, I recognized that this patch was very subtle and had plenty of calming effects. I'm not too sure about increasing libido but the relaxation felt great. I placed it over my right wrist where I had the most veins showing and it had great effect! These are easy to use and a good baby step toward using CBD wellness products if you're curious.",5
Mars,12/29/21,Worth trying,"Very interesting products. Sex, plz patch was easy to use and take off. Effects are subtle, took just fee minutes to work, definitely safe. Nothing crazy happened. We felt relaxed and ready to play. Worth trying",5
Emily,12/27/21,Try it,I was gifted these patches and I actually think they’re a lot of fun. I was really excited to try these because I’ve heard mixed reviews. They’re Really easy to try on and comes off without a problem. I recommend if you want to try to spice things up.,5
Debbie H.,12/22/21,Best orgasm,I love how effective and sticky this patch is. It took a lot less time for my body to get ready for sex. This time around I started feeling really relaxed ! It helped with losing me up and my organized came at faster then before. It’s not to intense but not so light either. I placed mine on my hip,5
C.,12/17/21,Give it a try,This is my first time trying out these patches! I've always had an interest to try them out but was a little nervous. They’re super easy to use and can be placed anywhere. I definitely recommend trying these just to spice things up a bit,5
N.J.,12/17/21,Great!,"Love these! They make the time I spend with my husband so much more enjoyable. I'm more relaxed and happy and ""in the mood."" Will definitely be ordering more of these, and my husband want to try them too!",5
D.,12/17/21,amazing,This is my first time trying out these patches! I heard great things about the other ones and was excited to try these out. They’re super easy to use and can be placed anywhere. I definitely recommend trying these!,5
Sophie O.,11/6/21,love love love,such a great product! i would definitely recommend!! also have tried energy patch and i love it!!!,5
E.V.,11/4/21,Relaxed!,"The patch was super simple to use! It was my first time trying anything like this and I loved it even just for relaxation. I didn’t notice too much of a difference in terms of feeling turned on, but it definitely made me feel very relaxed and at ease.",5
A.J.,11/4/21,Love it!,Loved this patch so much! It was very easy to put on and take off. This patch made me and my partner happy! It definitely did affect our intimacy for the better! Also it has very cute packaging! Definitely recommend,5
Fabby,10/27/21,Fabulous,Tried for the first time and is worth it,5
C.L.,10/23/21,,"This patch is… very interesting! I didn’t really know what to expect, but I will say it was a fun experience! There’s no discomfort upon application, and I honestly didn’t even notice I was wearing it!",5
P.E.,10/20/21,Great product!,I was very hesitant about this product because it almost seemed too good to be true.  But the CBD definitely works with this patch! I love how easy it is to apply and how long it lasts. I would highly recommend checking these out!,5
A M.,10/20/21,,"I was pretty hesitant about this product at first. I felt like either it was going to be amazing or a fad. So far, I love this product! I have found it helps me to destress relieve some anxiety. I only got 1 so I am curious to see what long-term use would do. It’s easy to apply and simple to use! I am interested in trying their other products! Lasty, they have the cutest little graphics on their site to help explain the product!",5
Annmarie G.,10/18/21,Great,"I love this product! It a great way for me to destress and relieve some anxiety. It lasts very long as well, which is great. Easy to apply and simple to use! I cannot recommend this product enough.",5
DeBora S.,7/18/21,,Have still not received my order that was shipped 14 days ago...,5
Joshua,2/6/21,Love it!,This is amazing! I really love these patches!,5
J.G.,12/27/21,"I like them, but wish they stuck better","I’d never tried a patch like this before, and I was really excited by the notion that the patch would last 12 hours. They didn’t really last on me—like they weren’t sticky enough? I get like 6 hours of wear with them. I do think they help intensify some of the good feelings, but it didn’t create the feelings…if that makes sense? It’s not like you’re all of the sudden IN THE MOOD. I do like these, and I’d like to try out some of their other patches too.",4
F.L.,1/3/22,Love the concept,"I was super excited to try these patches! I placed it on the inside of my wrist, and the application process was easy to understand. Personally, I did not feel very strong effects from this. I’m not sure if maybe my tolerance is just higher. However, I do think this concept is great and can be great for people who may benefit from the extra relaxation. I will give these patches another try, and hopefully may feel more effects this time.",3
cladja1,3/15/21,A bit more than meh,"The patch didn't stay on for very long (I put it on my wrist), and once it fell off, I couldn't get it to stay on without taping it on. But I think it helped in spite of that. I purchased 2, so we'll see what happens with the next one.",3
L.S.,10/30/21,Meh,"Honestly, I really didn’t notice much of a difference after wearing this patch. I wore it all day, for at least 8 hours and I don’t feel any different. Maybe it is just me, but I probably wouldn’t purchase.",2
D.w.,10/26/21,Meh,"This was super easy to use, however, I don't think I noticed any big difference. It kind of seemed like it might just be a placebo, but I did kindddd of notice a change in my energy levels, but that's about it.",2
D.L.,10/26/21,Didn't work for me,It's a cool concept but I didn't notice a difference wearing the patch. The instructions were clear and I applied it to my right wrist. Effects were either subtle or didn't have any effect on me. ,2
