,normalized_url,fct_date,score_date,parent_category,parent_category_hgp_score,overall_hgp_score,overall_feature_density,t12m_nielsen_sales,t12m_nielsen_sales_pct_growth,nielsen_feature_density,nielsen_score,parent_category_nielsen_score,nielsen_weight,offline_distribution_feature_density,offline_distribution_score,parent_category_offline_distribution_score,offline_distribution_weight,reviews_feature_density,reviews_score,parent_category_reviews_score,reviews_weight,social_feature_density,social_score,parent_category_social_score,social_weight,web_feature_density,web_score,parent_category_web_score,web_weight,overall_confidence,reliability_bucket
13388,bravosierra.com,2021-12,2021-12,Personal Care & Beauty,0.9999761325122918,0.9999483599177835,0.9090909090909091,1355459.064453125,13.702100344564402,1.0,0.978818893328225,0.978984238178634,0.4,1.0,0.812789697188376,0.8045219029674988,0.3,0.7692307692307693,0.9976622783119189,0.9979440139174443,0.1,0.7959183673469388,0.9917428663327666,0.9872862739354886,0.15,1.0,0.9781236246487434,0.9845991296717466,0.05,0.9386265832990173,high
17975,brightland.co,2021-12,2021-12,Food,0.696169365025516,0.7030022592535969,0.4195804195804196,,,,,,0.4,,,,0.3,,,,0.1,0.40816326530612246,0.4536518402793733,0.46265509691022627,0.15,1.0,0.9811469315594604,0.9795352063822407,0.05,0.10789109212253747,low
27637,pallaby.com,2021-12,2021-12,Pet Products,0.9892251097662276,0.9887995379571591,0.4195804195804196,,,,,,0.4,,,,0.3,,,,0.1,0.5918367346938775,0.9827447962137573,0.976525632234905,0.15,0.775,0.9857715129595076,0.9868571021513036,0.05,0.124773477192135,low
55449,weareshrine.com,2021-12,2021-12,Personal Care & Beauty,0.9993794453195857,0.9988679950398343,0.4405594405594406,1179858.322265625,,0.5,0.9636308904821849,0.9553415061295972,0.4,0.7142857142857143,0.6832967886979933,0.6537918040508715,0.3,,,,0.1,0.22448979591836735,0.7286840049625511,0.7125453080950463,0.15,0.675,0.9589171738389569,0.9706547757621341,0.05,0.36632404304587585,medium_high
71164,wildone.com,2021-12,2021-12,Pet Products,0.9997626676159962,0.9997451969627478,0.6783216783216783,2634571.671875,,0.5,0.9439275354386734,0.9389567147613762,0.4,0.7142857142857143,0.9983901856837547,1.0,0.3,1.0,0.4469091100838416,0.4483870967741935,0.1,0.3877551020408163,0.9325495106373202,0.9280442060258944,0.15,1.0,0.42773041448792887,0.422757277864843,0.05,0.5084519630331613,medium_high
93441,violettefr.com,2021-12,2021-12,Personal Care & Beauty,0.8867129695928206,0.9081200631911532,0.23776223776223776,,,,,,0.4,,,,0.3,,,,0.1,0.14285714285714285,0.8650197583053807,0.8494398271885183,0.15,0.675,0.5606161301535496,0.5170394512992246,0.05,0.05283003847273183,low
105502,wanderingbarman.com,2021-12,2021-12,Food,0.9713081326105629,0.9881825748696258,0.45454545454545453,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.9822267150668565,0.9753293094060266,0.15,1.0,0.9748469299949186,0.9725329517863337,0.05,0.12207909855297375,low
109011,wavesoda.com,2021-12,2021-12,Non-Alcoholic Beverages,0.9938141700146674,0.9976130051470213,0.8391608391608392,795698.212890625,3.0659218648249187,1.0,0.972853155273384,0.9680915111378687,0.4,1.0,0.8762663410030809,0.8654080389768575,0.3,,,,0.1,0.7959183673469388,0.1197778339383357,0.1440734398782344,0.15,1.0,0.2868070355402669,0.2647584402323058,0.05,0.8641418559688748,high
121678,freckbeauty.com,2021-12,2021-12,Other,0.9911435320818739,0.9868012026703358,0.5384615384615384,,,,,,0.4,,,,0.3,,,,0.1,0.7551020408163265,0.9904252630611589,0.9935122321992194,0.15,1.0,0.9232932379824486,0.9266631170352805,0.05,0.16031941021921564,low
142203,eatbehave.com,2021-12,2021-12,Food,0.9778260587118615,0.9924197795104385,0.44755244755244755,,,,,,0.4,,,,0.3,1.0,0.7404601620586012,0.719867447595561,0.1,0.22448979591836735,0.9350342324128107,0.9224949893995389,0.15,1.0,0.9982892075868032,0.997817666782287,0.05,0.1829273893987521,low
142382,eatdeux.com,2021-12,2021-12,Other,0.9943667470948931,0.9909500755915677,0.46153846153846156,,,,,,0.4,,,,0.3,,,,0.1,0.5306122448979592,0.9979024031613288,0.9992450691161124,0.15,1.0,0.9999870755245126,0.9999873561942707,0.05,0.12838365854162384,low
150738,radswan.com,2021-12,2021-12,Personal Care & Beauty,0.9725822234951549,0.9733469228286534,0.45454545454545453,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.9924826540458577,0.9894738769084319,0.15,1.0,0.7251246361590091,0.6946389451000758,0.05,0.12818244931449502,low
150915,raewellness.co,2021-12,2021-12,Food,0.9902628102872074,0.9965965108970766,0.5804195804195804,,,,,,0.4,1.0,0.8943073635127259,0.9010322709961917,0.3,0.8461538461538461,0.5641027894468564,0.5647348951911221,0.1,0.22448979591836735,0.9574363598768552,0.9459434410371074,0.15,1.0,0.5690714580644985,0.5531997918834547,0.05,0.4701842979720181,medium_high
