,sff2022 company name,normalized_url,fct_date,score_date,parent_category,parent_category_hgp_score,overall_hgp_score,overall_feature_density,t12m_nielsen_sales,t12m_nielsen_sales_pct_growth,nielsen_feature_density,nielsen_score,parent_category_nielsen_score,nielsen_weight,offline_distribution_feature_density,offline_distribution_score,parent_category_offline_distribution_score,offline_distribution_weight,reviews_feature_density,reviews_score,parent_category_reviews_score,reviews_weight,social_feature_density,social_score,parent_category_social_score,social_weight,web_feature_density,web_score,parent_category_web_score,web_weight,overall_confidence,reliability_bucket
998,Bona Furtuna LLC,bonafurtuna.com,2021-12,2021-12,Food,0.9994514259316737,0.9998376055309246,0.6853146853146853,41169.030700683594,,0.9,0.9811997153959827,0.9816240138541467,0.4,1.0,0.8923089733270421,0.8997795149328522,0.3,,,,0.1,0.3877551020408163,0.9485962413270229,0.935910654911547,0.15,1.0,0.99234666980482,0.9914585501214013,0.05,0.7830312251464655,high
1064,Bon AppeSweet Inc,bonappesweet.com,2021-12,2021-12,Food,0.4626717000743462,0.4520532028741783,0.055944055944055944,,,,,,0.4,,,,0.3,,,,0.1,0.061224489795918366,0.5524824242981207,0.5636085591482558,0.15,0.125,0.28061281060405596,0.2781535437622847,0.05,0.015482641475648387,low
1560,Ford's Food Inc.,bonesuckin.com,2021-12,2021-12,Food,0.001219855494041475,0.00027858465406240977,0.9300699300699301,4059803.070678711,-0.1268451406738471,1.0,0.06124459526024848,0.0709062920915913,0.4,1.0,0.09461822420827666,0.10693525756664662,0.3,1.0,0.5134638707749636,0.5164919852034525,0.1,0.7959183673469388,0.027520332674723154,0.027827658514545224,0.15,1.0,0.003282136538240462,0.0030711642964504566,0.05,0.9632669154272406,high
1736,Bonifanti Srl,bonifanti.com,2021-12,2021-12,Food,0.9910856713896969,0.9968513139343288,0.36363636363636365,,,0.5,0.9119916808056483,0.918510679238022,0.4,,,,0.3,,,,0.1,0.22448979591836735,0.8706141157009604,0.8610007298678128,0.15,0.775,0.19610918868985952,0.19446973638570933,0.05,0.16928755240151527,low
4311,Borgo de Medici USA Inc,borgodemedici.us,2021-12,2021-12,Food,0.996961188384666,0.9988027654622976,0.6293706293706294,29436.362731933594,,0.9,0.7907886815171583,0.820473350009621,0.4,1.0,0.867273585167504,0.8745740629384646,0.3,1.0,0.2542140509377252,0.24776510480887792,0.1,0.22448979591836735,0.9471832927445665,0.9345667713196705,0.15,0.675,0.9889570560493688,0.9873829344432883,0.05,0.8409033051591801,high
5156,Bossen,bossenstore.com,2021-12,2021-12,Other,0.1380842164989284,0.17178616929113796,0.5174825174825175,,,,,,0.4,,,,0.3,1.0,0.5733482150703954,0.5636650868878357,0.1,0.42857142857142855,0.2467008224968984,0.21471213429009442,0.15,1.0,0.38732034128778114,0.3876267717132778,0.05,0.21000838505235514,medium_low
6445,Botticelli Foods LLC,botticellifoods.com,2021-12,2021-12,Food,0.9986646552284162,0.9994503049143012,0.7902097902097902,34277096.5,0.0663594235717766,1.0,0.8024738656887964,0.8342312872811237,0.4,1.0,0.9139304449193705,0.9196231709761475,0.3,1.0,0.8785087796389714,0.8814734895191122,0.1,0.3877551020408163,0.9338556265220788,0.9219852404508961,0.15,1.0,0.44421184167653577,0.4449249913284773,0.05,0.9070286719606362,high
7364,Bould Ass Seasoning Co.,bouldrubs.com,2021-12,2021-12,Other,0.9648606363286528,0.9547401858363485,0.16783216783216784,,,,,,0.4,,,,0.3,,,,0.1,0.14285714285714285,0.8651369296512429,0.8754724759414091,0.15,0.425,0.9080580023250451,0.910998846603944,0.05,0.04069263059132052,low
8035,Favols SAS,boutiquefavols.com,2021-12,2021-12,Food,0.6940580766704442,0.7221661655540267,0.11888111888111888,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.425,0.8747291812208732,0.863607787027402,0.05,0.02011633894698579,low
10085,Brad's Organic LLC,bradsorganic.com,2021-12,2021-12,Food,0.6413985751510384,0.6789644804566071,0.6853146853146853,,,,,,0.4,,,,0.3,1.0,0.3729632819503278,0.36120530209617757,0.1,0.9183673469387755,0.7921345862243256,0.786670064992991,0.15,1.0,0.18214803422129014,0.19204532315874667,0.05,0.28442069278109944,medium_low
10087,Brad's Plant Based,bradsplantbased.com,2021-12,2021-12,Food,0.019265055110039626,0.005570334131716184,0.972027972027972,14370393.796875,0.036297891717951725,1.0,0.3284713480378742,0.37204156243986913,0.4,1.0,0.4093091676149768,0.40509120064141113,0.3,1.0,0.2975761517234106,0.29778051787916154,0.1,0.9183673469387755,0.0002504250333134219,0.000417067321616831,0.15,1.0,0.8325300885190524,0.8292649439241531,0.05,0.9844206927810997,high
10866,BranchOut Food Inc.,branchoutfood.com,2021-12,2021-12,Food,0.9725279881046044,0.9889381508094243,0.3076923076923077,,,,,,0.4,,,,0.3,,,,0.1,0.3469387755102041,0.9875591600422736,0.9822746388312846,0.15,0.675,0.9746074870806263,0.9739493004971673,0.05,0.08618271969551675,low
11208,Brand Castle LLC,brandcastle.com,2021-12,2021-12,Food,0.18407547224287396,0.09133295962221202,0.7132867132867133,414989.5707511902,-0.40476623717898996,1.0,0.17267801433966395,0.21060227054069655,0.4,1.0,0.9849426850592579,0.9846662657847264,0.3,1.0,0.508094141634296,0.5107120838471023,0.1,0.16326530612244897,0.12853122271745623,0.16452147317446159,0.15,1.0,0.14787980781985186,0.14995953289397618,0.05,0.8741012825618841,high
12215,Brands of Britain LLC,brandsofbritain.com,2021-12,2021-12,Food,0.10399809442692055,0.07847729704938083,0.5944055944055944,,,,,,0.4,,,,0.3,,,,0.1,0.9183673469387755,0.03385907273813353,0.05635042923178516,0.15,1.0,0.6561232423563632,0.6420323158746676,0.05,0.1844206927810994,low
12693,OIC Foods,brars.com,2021-12,2021-12,Food,0.9573772385070124,0.9769780359781889,0.42657342657342656,,,,,,0.4,,,,0.3,,,,0.1,0.4489795918367347,0.916555621927124,0.9102030886152206,0.15,0.975,0.9995068292248239,0.9993568620649786,0.05,0.12005222827524867,low
12973,Braswell Food Company,braswells.com,2021-12,2021-12,Food,6.496271861759335e-05,1.2230545788105794e-05,0.972027972027972,7004512.84375,-0.07028366599439495,1.0,0.0011767281484319414,0.0012507215701366174,0.4,1.0,0.0014710372200172084,0.001152535578272199,0.3,1.0,0.08909707696904716,0.06920468557336622,0.1,0.9183673469387755,0.07134011854983228,0.08177415804534449,0.15,1.0,0.579062077616237,0.5760203491733148,0.05,0.9844206927810997,high
13734,B & R Classics LLC,brclassics.com,2021-12,2021-12,Other,0.6936260396448425,0.679313730486334,0.24475524475524477,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.875,0.8050853049393945,0.8065160555259753,0.05,0.04501997736288133,low
16404,BRIANNAS Fine Salad Dressing,briannas.com,2021-12,2021-12,Food,0.010495088096664525,0.0027641033481119095,0.8951048951048951,60259499.32006836,0.04312440404494344,1.0,0.19793662087461003,0.2333076775062536,0.4,1.0,0.17850897887812595,0.18630988173982763,0.3,1.0,0.2917582127854042,0.28491060419235514,0.1,0.6938775510204082,0.2882432339291458,0.3115261188410163,0.15,1.0,0.6513663551414584,0.661955139322465,0.05,0.9514933033823476,high
19234,Otis Foods LLC,otisfoods.com,2021-12,2021-12,Pet Products,0.3312685415925003,0.3652577757393535,0.03496503496503497,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.125,0.2834405497935825,0.23626347532886927,0.05,0.006938949123072038,low
19881,OU Kosher,oukosher.org,2021-12,2021-12,Food,0.09897431085382667,0.06872275730860045,0.6713286713286714,,,,,,0.4,,,,0.3,1.0,0.24776334522700508,0.27712700369913684,0.1,0.9183673469387755,0.07045673850112577,0.08010009615718804,0.15,0.95,0.9836954340549046,0.9821655682737889,0.05,0.2823637065847171,medium_low
21950,"Oven Arts, LLC",ovenarts.com,2021-12,2021-12,Food,0.9966869013505028,0.9988183933819158,0.7272727272727273,,,0.9,0.9427508072902414,0.9480469501635559,0.4,1.0,0.9862610674734242,0.9857686911204651,0.3,0.8461538461538461,0.5987379818255322,0.5614981504315659,0.1,0.3877551020408163,0.1709954969443551,0.20809342308004217,0.15,0.875,0.7172444474072481,0.6930136431957452,0.05,0.8653081110826129,high
25375,PacknWood,packnwood.com,2021-12,2021-12,Household Durables,0.6095221854089521,0.5750055207324738,0.6853146853146853,,,,,,0.4,,,,0.3,1.0,0.037473854428488565,0.03106648986550483,0.1,0.9183673469387755,0.7287988788310436,0.7525514380832833,0.15,1.0,0.888189002087643,0.8791860682447972,0.05,0.28442069278109944,medium_low
25891,Paesana Products,paesana.com,2021-12,2021-12,Food,0.008048159028735177,0.0022055750904550783,0.8951048951048951,5517674.90625,-0.19447994550630665,1.0,0.1307536533304143,0.15864922070425244,0.4,1.0,0.02632601515445891,0.029264381639607137,0.3,1.0,0.056650203012672914,0.04500616522811344,0.1,0.6938775510204082,0.7102875292928365,0.7122351332877649,0.15,1.0,0.8984401518557846,0.8925345415654989,0.05,0.9540285721780171,high
27189,"Palais Des Thes, LLC",palaisdesthes.com,2021-12,2021-12,Non-Alcoholic Beverages,0.9885849116765513,0.9950656542492653,0.6433566433566433,,,0.5,0.9072847682119205,0.894942805538832,0.4,,,,0.3,1.0,0.8709683089307999,0.8425565081839439,0.1,0.5918367346938775,0.18500206772963287,0.20876141552511415,0.15,1.0,0.5424511199738246,0.5301710383559896,0.05,0.33037085000768984,medium_high
29288,PANCRACIO CHOCOLATE,pancracio.com,2021-12,2021-12,Food,0.15863895886416296,0.1267967860843568,0.3776223776223776,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.2823381427192942,0.3112828295700731,0.15,0.725,0.18412513885308204,0.18281015146259683,0.05,0.11001005292744383,low
29657,Panealba S.r.l.,panealba.it,2021-12,2021-12,Other,0.6145161245017711,0.59052268596375,0.34265734265734266,,,,,,0.4,,,,0.3,,,,0.1,0.3673469387755102,0.587507466801452,0.5902477358514873,0.15,0.775,0.41140238041629057,0.4221471710889548,0.05,0.09184608779338294,low
30030,PANOS Brands,panosbrands.com,2021-12,2021-12,Food,0.2568914617333497,0.2451103297151302,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,1.0,0.0740844539647189,0.07548560527228582,0.05,0.049999999999999996,low
33125,Paris Gourmet,parisgourmet.com,2021-12,2021-12,Food,0.4365350329505345,0.441153068677912,0.17482517482517482,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.625,0.41756803545931886,0.416529367556943,0.05,0.031077832254899018,low
